#gene_id	path_id	pathway
hsa:54657	path:hsa00040	Pentose and glucuronate interconversions
hsa:54658	path:hsa00040	Pentose and glucuronate interconversions
hsa:54659	path:hsa00040	Pentose and glucuronate interconversions
hsa:574537	path:hsa00040	Pentose and glucuronate interconversions
hsa:6120	path:hsa00040	Pentose and glucuronate interconversions
hsa:729020	path:hsa00040	Pentose and glucuronate interconversions
hsa:7358	path:hsa00040	Pentose and glucuronate interconversions
hsa:7360	path:hsa00040	Pentose and glucuronate interconversions
hsa:7363	path:hsa00040	Pentose and glucuronate interconversions
hsa:7364	path:hsa00040	Pentose and glucuronate interconversions
hsa:7365	path:hsa00040	Pentose and glucuronate interconversions
hsa:7366	path:hsa00040	Pentose and glucuronate interconversions
hsa:7367	path:hsa00040	Pentose and glucuronate interconversions
hsa:79799	path:hsa00040	Pentose and glucuronate interconversions
hsa:9365	path:hsa00040	Pentose and glucuronate interconversions
hsa:9942	path:hsa00040	Pentose and glucuronate interconversions
hsa:197258	path:hsa00051	Fructose and mannose metabolism
hsa:2203	path:hsa00051	Fructose and mannose metabolism
hsa:226	path:hsa00051	Fructose and mannose metabolism
hsa:229	path:hsa00051	Fructose and mannose metabolism
hsa:230	path:hsa00051	Fructose and mannose metabolism
hsa:231	path:hsa00051	Fructose and mannose metabolism
hsa:2762	path:hsa00051	Fructose and mannose metabolism
hsa:29085	path:hsa00051	Fructose and mannose metabolism
hsa:29925	path:hsa00051	Fructose and mannose metabolism
hsa:29926	path:hsa00051	Fructose and mannose metabolism
hsa:3098	path:hsa00051	Fructose and mannose metabolism
hsa:3099	path:hsa00051	Fructose and mannose metabolism
hsa:3101	path:hsa00051	Fructose and mannose metabolism
hsa:3795	path:hsa00051	Fructose and mannose metabolism
hsa:4351	path:hsa00051	Fructose and mannose metabolism
hsa:5207	path:hsa00051	Fructose and mannose metabolism
hsa:5208	path:hsa00051	Fructose and mannose metabolism
hsa:5209	path:hsa00051	Fructose and mannose metabolism
hsa:5210	path:hsa00051	Fructose and mannose metabolism
hsa:5211	path:hsa00051	Fructose and mannose metabolism
hsa:5213	path:hsa00051	Fructose and mannose metabolism
hsa:5214	path:hsa00051	Fructose and mannose metabolism
hsa:5372	path:hsa00051	Fructose and mannose metabolism
hsa:5373	path:hsa00051	Fructose and mannose metabolism
hsa:57016	path:hsa00051	Fructose and mannose metabolism
hsa:57103	path:hsa00051	Fructose and mannose metabolism
hsa:6652	path:hsa00051	Fructose and mannose metabolism
hsa:7167	path:hsa00051	Fructose and mannose metabolism
hsa:7264	path:hsa00051	Fructose and mannose metabolism
hsa:80201	path:hsa00051	Fructose and mannose metabolism
hsa:8776	path:hsa00051	Fructose and mannose metabolism
hsa:8789	path:hsa00051	Fructose and mannose metabolism
hsa:8790	path:hsa00051	Fructose and mannose metabolism
hsa:8898	path:hsa00051	Fructose and mannose metabolism
hsa:9107	path:hsa00051	Fructose and mannose metabolism
hsa:9108	path:hsa00051	Fructose and mannose metabolism
hsa:231	path:hsa00052	Galactose metabolism
hsa:2538	path:hsa00052	Galactose metabolism
hsa:2548	path:hsa00052	Galactose metabolism
hsa:2582	path:hsa00052	Galactose metabolism
hsa:2584	path:hsa00052	Galactose metabolism
hsa:2585	path:hsa00052	Galactose metabolism
hsa:2592	path:hsa00052	Galactose metabolism
hsa:2595	path:hsa00052	Galactose metabolism
hsa:2645	path:hsa00052	Galactose metabolism
hsa:2683	path:hsa00052	Galactose metabolism
hsa:2717	path:hsa00052	Galactose metabolism
hsa:2720	path:hsa00052	Galactose metabolism
hsa:3098	path:hsa00052	Galactose metabolism
hsa:3099	path:hsa00052	Galactose metabolism
hsa:3101	path:hsa00052	Galactose metabolism
hsa:3906	path:hsa00052	Galactose metabolism
hsa:3938	path:hsa00052	Galactose metabolism
hsa:5211	path:hsa00052	Galactose metabolism
hsa:5213	path:hsa00052	Galactose metabolism
hsa:5214	path:hsa00052	Galactose metabolism
hsa:5236	path:hsa00052	Galactose metabolism
hsa:55276	path:hsa00052	Galactose metabolism
hsa:57818	path:hsa00052	Galactose metabolism
hsa:6476	path:hsa00052	Galactose metabolism
hsa:7360	path:hsa00052	Galactose metabolism
hsa:80201	path:hsa00052	Galactose metabolism
hsa:8704	path:hsa00052	Galactose metabolism
hsa:8972	path:hsa00052	Galactose metabolism
hsa:10720	path:hsa00053	Ascorbate and aldarate metabolism
hsa:10941	path:hsa00053	Ascorbate and aldarate metabolism
hsa:217	path:hsa00053	Ascorbate and aldarate metabolism
hsa:219	path:hsa00053	Ascorbate and aldarate metabolism
hsa:223	path:hsa00053	Ascorbate and aldarate metabolism
hsa:224	path:hsa00053	Ascorbate and aldarate metabolism
hsa:501	path:hsa00053	Ascorbate and aldarate metabolism
hsa:54490	path:hsa00053	Ascorbate and aldarate metabolism
hsa:54575	path:hsa00053	Ascorbate and aldarate metabolism
hsa:54576	path:hsa00053	Ascorbate and aldarate metabolism
hsa:54577	path:hsa00053	Ascorbate and aldarate metabolism
hsa:54578	path:hsa00053	Ascorbate and aldarate metabolism
hsa:54579	path:hsa00053	Ascorbate and aldarate metabolism
hsa:54600	path:hsa00053	Ascorbate and aldarate metabolism
hsa:54657	path:hsa00053	Ascorbate and aldarate metabolism
hsa:54658	path:hsa00053	Ascorbate and aldarate metabolism
hsa:54659	path:hsa00053	Ascorbate and aldarate metabolism
hsa:55586	path:hsa00053	Ascorbate and aldarate metabolism
hsa:574537	path:hsa00053	Ascorbate and aldarate metabolism
hsa:7358	path:hsa00053	Ascorbate and aldarate metabolism
hsa:7363	path:hsa00053	Ascorbate and aldarate metabolism
hsa:7364	path:hsa00053	Ascorbate and aldarate metabolism
hsa:7365	path:hsa00053	Ascorbate and aldarate metabolism
hsa:7366	path:hsa00053	Ascorbate and aldarate metabolism
hsa:7367	path:hsa00053	Ascorbate and aldarate metabolism
hsa:79799	path:hsa00053	Ascorbate and aldarate metabolism
hsa:9104	path:hsa00053	Ascorbate and aldarate metabolism
hsa:2194	path:hsa00061	Fatty acid biosynthesis
hsa:27349	path:hsa00061	Fatty acid biosynthesis
hsa:31	path:hsa00061	Fatty acid biosynthesis
hsa:32	path:hsa00061	Fatty acid biosynthesis
hsa:54995	path:hsa00061	Fatty acid biosynthesis
hsa:55301	path:hsa00061	Fatty acid biosynthesis
hsa:10449	path:hsa00062	Fatty acid elongation
hsa:10965	path:hsa00062	Fatty acid elongation
hsa:11332	path:hsa00062	Fatty acid elongation
hsa:122970	path:hsa00062	Fatty acid elongation
hsa:1892	path:hsa00062	Fatty acid elongation
hsa:201562	path:hsa00062	Fatty acid elongation
hsa:3030	path:hsa00062	Fatty acid elongation
hsa:3032	path:hsa00062	Fatty acid elongation
hsa:3033	path:hsa00062	Fatty acid elongation
hsa:51102	path:hsa00062	Fatty acid elongation
hsa:51144	path:hsa00062	Fatty acid elongation
hsa:54898	path:hsa00062	Fatty acid elongation
hsa:5538	path:hsa00062	Fatty acid elongation
hsa:60481	path:hsa00062	Fatty acid elongation
hsa:641371	path:hsa00062	Fatty acid elongation
hsa:64834	path:hsa00062	Fatty acid elongation
hsa:6785	path:hsa00062	Fatty acid elongation
hsa:79071	path:hsa00062	Fatty acid elongation
hsa:79993	path:hsa00062	Fatty acid elongation
hsa:83401	path:hsa00062	Fatty acid elongation
hsa:9200	path:hsa00062	Fatty acid elongation
hsa:9374	path:hsa00062	Fatty acid elongation
hsa:9524	path:hsa00062	Fatty acid elongation
hsa:10449	path:hsa00071	Fatty acid metabolism
hsa:10455	path:hsa00071	Fatty acid metabolism
hsa:124	path:hsa00071	Fatty acid metabolism
hsa:125	path:hsa00071	Fatty acid metabolism
hsa:126	path:hsa00071	Fatty acid metabolism
hsa:126129	path:hsa00071	Fatty acid metabolism
hsa:127	path:hsa00071	Fatty acid metabolism
hsa:128	path:hsa00071	Fatty acid metabolism
hsa:130	path:hsa00071	Fatty acid metabolism
hsa:131	path:hsa00071	Fatty acid metabolism
hsa:1374	path:hsa00071	Fatty acid metabolism
hsa:1375	path:hsa00071	Fatty acid metabolism
hsa:1376	path:hsa00071	Fatty acid metabolism
hsa:1579	path:hsa00071	Fatty acid metabolism
hsa:1632	path:hsa00071	Fatty acid metabolism
hsa:1892	path:hsa00071	Fatty acid metabolism
hsa:1962	path:hsa00071	Fatty acid metabolism
hsa:217	path:hsa00071	Fatty acid metabolism
hsa:2180	path:hsa00071	Fatty acid metabolism
hsa:2181	path:hsa00071	Fatty acid metabolism
hsa:2182	path:hsa00071	Fatty acid metabolism
hsa:219	path:hsa00071	Fatty acid metabolism
hsa:223	path:hsa00071	Fatty acid metabolism
hsa:224	path:hsa00071	Fatty acid metabolism
hsa:23205	path:hsa00071	Fatty acid metabolism
hsa:23305	path:hsa00071	Fatty acid metabolism
hsa:2639	path:hsa00071	Fatty acid metabolism
hsa:284541	path:hsa00071	Fatty acid metabolism
hsa:30	path:hsa00071	Fatty acid metabolism
hsa:3030	path:hsa00071	Fatty acid metabolism
hsa:3032	path:hsa00071	Fatty acid metabolism
hsa:3033	path:hsa00071	Fatty acid metabolism
hsa:33	path:hsa00071	Fatty acid metabolism
hsa:34	path:hsa00071	Fatty acid metabolism
hsa:35	path:hsa00071	Fatty acid metabolism
hsa:36	path:hsa00071	Fatty acid metabolism
hsa:37	path:hsa00071	Fatty acid metabolism
hsa:38	path:hsa00071	Fatty acid metabolism
hsa:39	path:hsa00071	Fatty acid metabolism
hsa:501	path:hsa00071	Fatty acid metabolism
hsa:51	path:hsa00071	Fatty acid metabolism
hsa:51703	path:hsa00071	Fatty acid metabolism
hsa:81616	path:hsa00071	Fatty acid metabolism
hsa:8310	path:hsa00071	Fatty acid metabolism
hsa:3155	path:hsa00072	Synthesis and degradation of ketone bodies
hsa:3157	path:hsa00072	Synthesis and degradation of ketone bodies
hsa:3158	path:hsa00072	Synthesis and degradation of ketone bodies
hsa:38	path:hsa00072	Synthesis and degradation of ketone bodies
hsa:39	path:hsa00072	Synthesis and degradation of ketone bodies
hsa:5019	path:hsa00072	Synthesis and degradation of ketone bodies
hsa:56898	path:hsa00072	Synthesis and degradation of ketone bodies
hsa:622	path:hsa00072	Synthesis and degradation of ketone bodies
hsa:64064	path:hsa00072	Synthesis and degradation of ketone bodies
hsa:1056	path:hsa00100	Steroid biosynthesis
hsa:10682	path:hsa00100	Steroid biosynthesis
hsa:10826	path:hsa00100	Steroid biosynthesis
hsa:120227	path:hsa00100	Steroid biosynthesis
hsa:1594	path:hsa00100	Steroid biosynthesis
hsa:1595	path:hsa00100	Steroid biosynthesis
hsa:1717	path:hsa00100	Steroid biosynthesis
hsa:1718	path:hsa00100	Steroid biosynthesis
hsa:2222	path:hsa00100	Steroid biosynthesis
hsa:3988	path:hsa00100	Steroid biosynthesis
hsa:4047	path:hsa00100	Steroid biosynthesis
hsa:50814	path:hsa00100	Steroid biosynthesis
hsa:51478	path:hsa00100	Steroid biosynthesis
hsa:6307	path:hsa00100	Steroid biosynthesis
hsa:6309	path:hsa00100	Steroid biosynthesis
hsa:6646	path:hsa00100	Steroid biosynthesis
hsa:6713	path:hsa00100	Steroid biosynthesis
hsa:7108	path:hsa00100	Steroid biosynthesis
hsa:8435	path:hsa00100	Steroid biosynthesis
hsa:10858	path:hsa00120	Primary bile acid biosynthesis
hsa:10998	path:hsa00120	Primary bile acid biosynthesis
hsa:1109	path:hsa00120	Primary bile acid biosynthesis
hsa:1581	path:hsa00120	Primary bile acid biosynthesis
hsa:1582	path:hsa00120	Primary bile acid biosynthesis
hsa:1593	path:hsa00120	Primary bile acid biosynthesis
hsa:23600	path:hsa00120	Primary bile acid biosynthesis
hsa:3295	path:hsa00120	Primary bile acid biosynthesis
hsa:51302	path:hsa00120	Primary bile acid biosynthesis
